Country,Area,GDP,Inflation,Life.expect,Military,Pop.growth,Unemployment
Austria,-0.5078352153072948,0.6839004220990755,0.11444681374338117,0.5707782634548155,-1.0243471998007092,-0.1767889446862847,-1.2455273735906611
Belgium,-0.8359872436825724,0.417061386853965,0.11444681374338117,0.4877559705886639,-0.3889523926580451,-0.11592717684346539,-0.592441859348367
Bulgaria,-0.3416891421138205,-1.2682377831151541,0.6242553476911691,-1.3674729584588685,1.2630741059128818,-1.8606311883376192,-0.06997344795453184
Croatia,-0.6756361053583314,-0.9733104283705583,-0.7595106730242551,-0.6809424597579774,0.9962082869129629,-0.42023601605756195,1.693357440499662
Czech Republic,-0.5386184998992729,-0.33430115975726726,-1.0508298352801337,-0.23709250943507376,-0.5795708348008446,-0.5013850398479878,-0.3094381365100396
Denmark,-0.7586845350129486,0.36088474785499436,-0.39536172020440674,0.2099506059980682,-0.3889523926580451,0.24924343021345052,-0.831906547903875
Estonia,-0.7455567313919892,-0.8047805113736464,1.2068936722029264,-1.4504952513250247,0.5006003373416846,-1.5563223491235225,0.5613425491463525
Finland,1.056391184840716,0.29066394910628107,-0.031212767384558325,0.4111200079429798,0.5006003373416846,-0.09563992089585892,-0.46182475649990823
Germany,1.1725174964399907,0.438127626478579,-0.6138510918963157,0.660186886541444,-0.1347944698009795,-0.6433958314812329,-0.8536760650452847
Greece,-0.21202286061307815,-0.3904777987562379,-0.031212767384558325,0.6154825749981298,3.42341645019794,-0.11592717684346539,1.6280488890754325
Hungary,-0.4515037730593444,-0.860957150372617,0.40576597599925984,-0.9906794754509384,0.18290293377035258,-0.6028213195860199,0.21303027488379575
Iceland,-0.39015866635446717,0.438127626478579,0.4785957665632296,0.9188332604706186,-2.040978891228972,1.1215954359605276,-0.5489028250655473
Ireland,-0.5914865150438493,0.6277237831001049,-0.5410213013323459,0.7016980329745198,-0.8972682383721765,2.014234697655211,0.9749633748331389
Italy,0.8299765586601094,-0.09555044401164206,-0.322531929640437,1.193445459950976,0.24644241448461907,0.5332650134799407,-0.33120765365144933
Latvia,-0.6264529797962081,-1.057575386869014,0.7699149288191086,-1.6580509834904085,-0.6431103155151108,-1.4548860693854904,0.626651100570582
Lithuania,-0.6220790958343982,-0.8960675497469736,0.551425557127199,-0.8214417246083922,-0.8972682383721765,-0.8056938790620845,1.1926585462472368
Luxembourg,-1.00787903786104,3.4225115732988938,0.041617023179411426,0.5196876216910292,-0.8972682383721765,2.0750964654980297,-0.918984616469514
Netherlands,-0.7682258768199347,0.7119887415985608,-0.7595106730242551,0.8900947744784871,-0.007715508372446553,0.6752758051131857,-1.2019883393078414
Norway,0.9681568421343325,1.5125058473338924,-1.4878085786639519,0.7016980329745198,0.3735213759131517,0.4318287337419085,-1.4414530278633493
Poland,0.8997679982476378,-0.818824671123389,0.6242553476911691,-0.5979201668918211,0.3735213759131517,-0.39994876010995556,0.5395730320049428
Portugal,-0.4572741009864578,-0.5941181151275065,0.26010639487132065,0.18440528511617502,0.881837221627283,0.1275198945278119,0.604881583429172
Slovakia,-0.7221370742293871,-0.6011401950023778,0.40576597599925984,-0.6681697993170285,-0.6685261078008173,-0.03477815305303961,0.713729169136221
Slovenia,-0.8990732915424317,-0.21492580188445465,-1.1236596258441034,-0.20516085833270387,0.11936345305608612,-0.6231085755336264,0.40895592915648404
Spain,2.085115158840225,-0.09555044401164206,-0.1768723485124975,1.0050487184470087,-0.5160313540865781,1.0810209240653148,2.5641381261560543
Sweden,1.7463083245270363,0.6207017032252335,-0.24970213907646724,0.9763102324548817,-0.1347944698009795,0.10723263858020549,-0.5271333079241376
Switzerland,-0.7698622384709072,0.8875407384703441,-2.288936274867618,0.9731170673446433,-0.7701892769436437,1.6287768346506886,-1.5503006135703983
Ukraine,2.6890925531728413,-1.7316950548566619,3.3917873891220167,-2.995987164679596,-0.26187343122951245,-1.5157478372283097,-0.44005523935849833
United Kingdom,0.4748368665148462,0.3257743484806377,0.842744719383078,0.6538005563209718,1.3901530673414149,0.8781483645892503,-0.39651620507567886
